2021-01-26 00:00:00.058 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:00.061 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:00:00.101 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.quartz.NBLotDeviceStatusTask - NB-lot状态信息为：{"fromUser":"54:B2:03:0B:A1:C2","content":{"onlineStatus":{"status":"1"}},"sendTime":"2021-01-26 00:00:00"}
2021-01-26 00:00:00.167 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.quartz.NBLotBasicInfoTask - NB-lot基本信息为：{"msgType":"basicInfo","fromUser":"54:B2:03:0B:A1:C2","toUserName":"LDM-SERVER","content":{"basicInfo":{"macAddress":["54:B2:03:0B:A1:C2"],"computerName":"LX-PC","memoryTotal":"总物理内存:7883MB","cpu":["Name Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz "],"model":"ISM800","osName":"Windows 7"}}}
2021-01-26 00:00:10.046 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:10.046 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:00:20.061 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:20.062 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:00:30.050 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:30.051 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:00:40.059 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:40.059 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:00:50.055 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:00:50.056 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:01:00.052 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:00.053 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
